rank,user,user_href,elo,gxe,rating
94,GenOne,/users/genone,1681,81.6%,1782 ± 43
95,R8,/users/r8,1681,76.0%,1719 ± 43
96,sandyman776,/users/sandyman776,1680,74.3%,1701 ± 38
97,dusttrustblueberry,/users/dusttrustblueberry,1679,76.5%,1722 ± 29
98,HoyPorTMananaPorMi,/users/hoyportmananapormi,1679,81.0%,1774 ± 40
99,diniz41,/users/diniz41,1679,67.4%,1636 ± 26
100,cbender2121,/users/cbender2121,1678,77.7%,1736 ± 35
101,prajna888,/users/prajna888,1676,73.2%,1690 ± 40
102,SingleThunder,/users/singlethunder,1672,83.0%,1802 ± 58
103,Duskullclopsn0ir,/users/duskullclopsn0ir,1672,82.5%,1793 ± 39
104,Dave Tempest,/users/davetempest,1671,84.2%,1818 ± 54
105,garygrewal,/users/garygrewal,1670,69.1%,1653 ± 37
106,langlijian,/users/langlijian,1669,61.8%,1591 ± 28
107,LTG,/users/ltg,1669,79.0%,1753 ± 62
108,Marreant,/users/marreant,1668,69.6%,1656 ± 25
109,justfortrick,/users/justfortrick,1667,78.1%,1741 ± 43
110,Alison Dlaurentis,/users/alisondlaurentis,1667,90.3%,1926 ± 56
111,SteeloWTF,/users/steelowtf,1665,77.0%,1729 ± 47
112,SOL INVICTVS,/users/solinvictvs,1665,78.0%,1738 ± 31
113,Fc ❤,/users/fc,1665,82.5%,1795 ± 54
114,Eggsforbwekfast,/users/eggsforbwekfast,1665,74.1%,1699 ± 34
115,testhuphat3,/users/testhuphat3,1664,81.3%,1779 ± 49
116,Anna's songbird,/users/annassongbird,1663,87.6%,1876 ± 74
117,PakchoiBoy,/users/pakchoiboy,1661,84.4%,1821 ± 48
118,Testmynewteams,/users/testmynewteams,1661,78.2%,1742 ± 48
119,Tsimpouki,/users/tsimpouki,1661,81.3%,1778 ± 45
120,VaatiMan92,/users/vaatiman92,1661,73.8%,1695 ± 33
121,sleepy114514,/users/sleepy114514,1660,81.0%,1775 ± 46
122,Givrix,/users/givrix,1660,79.2%,1752 ± 36
123,Dltic elpape,/users/dlticelpape,1658,72.7%,1685 ± 26
124,Loopae,/users/loopae,1657,70.9%,1668 ± 26
125,Lolballs2,/users/lolballs2,1657,72.3%,1681 ± 36
126,pariston hiyl,/users/paristonhiyl,1657,79.2%,1754 ± 46
127,Lemurro,/users/lemurro,1657,79.8%,1760 ± 45
128,BurntSkywalker,/users/burntskywalker,1656,80.9%,1773 ± 40
129,ErnestHimingway,/users/ernesthimingway,1656,72.5%,1683 ± 43
130,perish next turn,/users/perishnextturn,1656,86.4%,1853 ± 63
131,Tyara,/users/tyara,1655,67.1%,1635 ± 34
132,Kestii,/users/kestii,1655,81.0%,1777 ± 58
133,tupper trainer,/users/tuppertrainer,1654,76.4%,1722 ± 26
134,Low Tier Goodra,/users/lowtiergoodra,1654,82.2%,1789 ± 37
135,Mimi Chen,/users/mimichen,1654,83.2%,1805 ± 56
136,CalebTheEngineer,/users/calebtheengineer,1653,73.2%,1689 ± 29
137,Attacktitan99,/users/attacktitan99,1653,70.6%,1665 ± 28
138,THJC,/users/thjc,1652,73.3%,1691 ± 26
139,dual lengs,/users/duallengs,1652,85.3%,1835 ± 56
140,Mmmirza,/users/mmmirza,1652,86.8%,1859 ± 59
141,summer sundays,/users/summersundays,1652,83.4%,1808 ± 60
142,HGPL fangame10,/users/hgplfangame10,1652,88.8%,1893 ± 53
143,sustrom,/users/sustrom,1650,56.7%,1551 ± 32
144,Mirrrza,/users/mirrrza,1650,89.9%,1918 ± 66
145,tupadre32,/users/tupadre32,1649,76.7%,1725 ± 31
146,Cactuscoolish,/users/cactuscoolish,1648,73.5%,1692 ± 26
147,Had a Dream,/users/hadadream,1648,86.6%,1856 ± 59
148,KennyJ,/users/kennyj,1647,86.2%,1852 ± 70
149,PascalBrutal,/users/pascalbrutal,1645,75.1%,1709 ± 41
150,TrashbutHuman,/users/trashbuthuman,1645,72.1%,1679 ± 27
151,SyntheticTwilight,/users/synthetictwilight,1643,71.1%,1670 ± 38
152,We up,/users/weup,1643,81.7%,1785 ± 55
153,Alexelcapo porros,/users/alexelcapoporros,1642,70.8%,1667 ± 36
154,MADARAAAA,/users/madaraaaa,1641,84.6%,1825 ± 58
155,croftervgc,/users/croftervgc,1641,90.6%,1934 ± 66
156,blfitcrofter,/users/blfitcrofter,1641,81.0%,1775 ± 48
157,Suverenna,/users/suverenna,1641,93.0%,2004 ± 90
158,FlashShadow04,/users/flashshadow04,1640,74.3%,1701 ± 41
159,stravench,/users/stravench,1638,75.6%,1714 ± 46
160,Iexisttosuffer,/users/iexisttosuffer,1638,69.0%,1652 ± 37
161,weng1109,/users/weng1109,1637,73.3%,1690 ± 27
162,gunover,/users/gunover,1636,67.6%,1639 ± 25
163,I see forks,/users/iseeforks,1636,85.0%,1830 ± 53
164,Astro Nation Shoe,/users/astronationshoe,1636,85.7%,1839 ± 36
165,Golshi,/users/golshi,1635,79.0%,1751 ± 44
166,Grandpas eatin,/users/grandpaseatin,1634,84.4%,1820 ± 48
167,Dr Ratios Chalk,/users/drratioschalk,1634,79.7%,1759 ± 41
168,be happy my dudes,/users/behappymydudes,1632,69.0%,1651 ± 28
169,worldleaf,/users/worldleaf,1632,87.8%,1877 ± 63
170,RNG Savage,/users/rngsavage,1632,72.6%,1685 ± 41
171,Cofano,/users/cofano,1632,83.3%,1804 ± 43
172,qsns,/users/qsns,1632,85.3%,1835 ± 53
173,darkbean55,/users/darkbean55,1631,71.2%,1671 ± 34
174,executioner's axe,/users/executionersaxe,1630,83.3%,1804 ± 42
175,zxcvbnm147,/users/zxcvbnm147,1630,78.8%,1749 ± 45
