rank,user,user_href,elo,gxe,rating
402,Kodiak3b,/users/kodiak3b,1575,72.9%,1687 ± 34
403,DOUAD Mission,/users/douadmission,1575,82.6%,1798 ± 64
404,DOU admittance,/users/douadmittance,1575,82.6%,1797 ± 64
405,SmogonSetsAreTrash,/users/smogonsetsaretrash,1575,80.9%,1775 ± 63
406,Feyette,/users/feyette,1575,82.8%,1799 ± 61
407,Sword of Belief,/users/swordofbelief,1574,77.9%,1740 ± 52
408,GigaBytes7,/users/gigabytes7,1574,76.7%,1726 ± 48
409,Svanz,/users/svanz,1574,62.0%,1593 ± 34
410,homuraisbestgirl,/users/homuraisbestgirl,1574,60.7%,1582 ± 26
411,satouxie,/users/satouxie,1574,72.7%,1685 ± 44
412,jkl3330,/users/jkl3330,1574,69.1%,1652 ± 26
413,Mirzzza,/users/mirzzza,1574,88.8%,1897 ± 72
414,TrendyBear5,/users/trendybear5,1574,67.6%,1639 ± 41
415,DOUAD Bytes,/users/douadbytes,1574,83.6%,1812 ± 67
416,SCARCITY25,/users/scarcity25,1574,82.5%,1798 ± 67
417,MianyangJiejie,/users/mianyangjiejie,1573,76.4%,1724 ± 57
418,Serperiorestoptime,/users/serperiorestoptime,1573,78.9%,1751 ± 58
419,cuandomepasa,/users/cuandomepasa,1573,69.7%,1658 ± 42
420,Jewish Reuniclus,/users/jewishreuniclus,1573,72.9%,1689 ± 54
421,Steqhen,/users/steqhen,1573,68.3%,1644 ± 25
422,Meminger21,/users/meminger21,1572,89.7%,1918 ± 81
423,Kwaiidesu,/users/kwaiidesu,1572,78.8%,1748 ± 42
424,tatototz,/users/tatototz,1572,71.2%,1673 ± 57
425,dltic fbeagle,/users/dlticfbeagle,1572,87.6%,1874 ± 66
426,satorishi,/users/satorishi,1572,70.8%,1668 ± 37
427,waiba,/users/waiba,1572,77.3%,1732 ± 44
428,f1349015835,/users/f1349015835,1572,65.3%,1620 ± 33
429,crapominable,/users/crapominable,1571,67.2%,1636 ± 32
430,Ganymedes17,/users/ganymedes17,1571,78.1%,1742 ± 51
431,Rudith,/users/rudith,1571,70.3%,1665 ± 64
432,DOUAD Ain,/users/douadain,1571,84.2%,1821 ± 69
433,BigWannyWason,/users/bigwannywason,1571,78.1%,1743 ± 64
434,PerrinBaggins,/users/perrinbaggins,1571,76.7%,1727 ± 54
435,wijk,/users/wijk,1570,65.3%,1619 ± 33
436,fdsfffff,/users/fdsfffff,1570,85.1%,1834 ± 72
437,How Dismal,/users/howdismal,1570,64.4%,1612 ± 45
438,Pipolunghissimo69,/users/pipolunghissimo69,1570,68.3%,1645 ± 30
439,testhuphat4,/users/testhuphat4,1569,85.4%,1838 ± 67
440,sammy0642,/users/sammy0642,1569,63.5%,1604 ± 26
441,Alloha,/users/alloha,1569,79.9%,1760 ± 34
442,change40,/users/change40,1569,71.5%,1674 ± 46
443,dlticblast,/users/dlticblast,1569,87.8%,1879 ± 69
444,yescaman,/users/yescaman,1569,63.9%,1608 ± 45
445,DOUAD ESM,/users/douadesm,1568,82.5%,1796 ± 64
446,ShampoingDoux,/users/shampoingdoux,1568,66.3%,1628 ± 25
447,robottime1,/users/robottime1,1568,75.2%,1712 ± 61
448,sundays,/users/sundays,1568,78.1%,1742 ± 58
449,Aassdf,/users/aassdf,1568,83.5%,1813 ± 81
450,svincolo,/users/svincolo,1568,69.1%,1653 ± 45
451,LuBiStar20,/users/lubistar20,1568,75.0%,1708 ± 38
452,DLTIC Actuarily,/users/dlticactuarily,1568,85.7%,1843 ± 65
453,Mmirza,/users/mmirza,1568,86.6%,1856 ± 62
454,DOU ADO,/users/douado,1568,82.8%,1801 ± 65
455,sweethoneyb,/users/sweethoneyb,1568,72.2%,1680 ± 29
456,CrazyJok3r,/users/crazyjok3r,1568,66.7%,1632 ± 54
457,DOUAD Pear,/users/douadpear,1567,81.2%,1780 ± 62
458,douadz,/users/douadz,1567,83.2%,1806 ± 66
459,Testaccxd123,/users/testaccxd123,1567,69.1%,1652 ± 39
460,Kalo.munro,/users/kalomunro,1567,66.4%,1628 ± 28
461,DOUAD Nameless,/users/douadnameless,1567,82.4%,1795 ± 62
462,Inioen,/users/inioen,1567,91.4%,1956 ± 79
463,shwika,/users/shwika,1567,69.1%,1652 ± 38
464,furretdayo,/users/furretdayo,1567,86.1%,1850 ± 71
465,DLTIC Kunal,/users/dltickunal,1567,87.4%,1870 ± 68
466,Actual Life,/users/actuallife,1567,87.1%,1866 ± 68
467,DOUAD bobo,/users/douadbobo,1566,77.0%,1730 ± 54
468,buddhist ameba,/users/buddhistameba,1566,74.6%,1705 ± 59
469,badaaabum,/users/badaaabum,1565,69.4%,1654 ± 30
470,douad bean,/users/douadbean,1565,82.6%,1798 ± 65
471,DOUAD Kunal,/users/douadkunal,1565,83.1%,1805 ± 67
472,Chanseydance,/users/chanseydance,1565,79.9%,1768 ± 87
473,DOUADdict,/users/douaddict,1565,80.9%,1776 ± 63
474,lordnoob1300,/users/lordnoob1300,1565,71.6%,1675 ± 36
475,Fuecoco,/users/fuecoco,1565,81.9%,1787 ± 56
476,toons0431,/users/toons0431,1565,67.5%,1638 ± 34
477,mrpotatosheep,/users/mrpotatosheep,1564,70.6%,1665 ± 29
478,testmansam,/users/testmansam,1564,82.3%,1794 ± 60
479,DragonCatcherMike,/users/dragoncatchermike,1563,78.6%,1747 ± 50
480,Hassuheimer,/users/hassuheimer,1563,68.9%,1651 ± 38
481,toastrgophr,/users/toastrgophr,1563,70.1%,1661 ± 47
482,Igorbacana,/users/igorbacana,1563,73.1%,1689 ± 36
483,TDZ.sf,/users/tdzsf,1563,67.4%,1637 ± 25
484,rookie dragon,/users/rookiedragon,1563,59.4%,1572 ± 35
485,whoopdiedoo,/users/whoopdiedoo,1563,76.2%,1721 ± 52
486,Kiramager,/users/kiramager,1563,75.3%,1714 ± 69
487,flytecrofte89,/users/flytecrofte89,1563,80.3%,1768 ± 62
488,Tulio&Miguel,/users/tuliomiguel,1562,69.9%,1660 ± 47
489,gambit angle,/users/gambitangle,1562,78.3%,1745 ± 58
490,TundraRage96,/users/tundrarage96,1562,74.5%,1704 ± 60
491,114514jfz,/users/114514jfz,1562,63.2%,1603 ± 44
492,frankocean$7,/users/frankocean7,1562,78.7%,1749 ± 57
493,sariel4ever,/users/sariel4ever,1562,74.2%,1699 ± 26
494,Bladeezzzz,/users/bladeezzzz,1562,73.3%,1692 ± 55
495,MixyTheCoffe,/users/mixythecoffe,1562,66.4%,1630 ± 61
496,Ruangnel,/users/ruangnel,1562,67.9%,1641 ± 30
497,zhangzhi,/users/zhangzhi,1561,74.0%,1698 ± 40
498,tnealonprac,/users/tnealonprac,1561,71.8%,1681 ± 83
499,Chickengod5,/users/chickengod5,1561,70.3%,1663 ± 40
500,DouFl Suckyy,/users/douflsuckyy,1561,79.9%,1764 ± 64
